District Name,City,County Name
KIPP West Philadelphia Preparatory Charter School,Philadelphia,Philadelphia
Kiski Area School District,Vandergrift,Westmoreland
Kutztown Area School District,Kutztown,Berks
La Academia Partnership Charter School,Lancaster,Lancaster
Laboratory Cs,Bala Cynwyd,Montgomery
Lackawanna Trail School District,Factoryville,Wyoming
Lake-Lehman School District,Dallas,Luzerne
Lakeland School District,Scott Township,Lackawanna
Lakeview School District,Stoneboro,Mercer
Lampeter-Strasburg School District,Lancaster,Lancaster
Lancaster County Academy,Lancaster,Lancaster
Lancaster County Career And Technical Center,Willow Street,Lancaster
Lancaster School District,Lancaster,Lancaster
Laurel Highlands School District,Uniontown,Fayette
Laurel School District,New Castle,Lawrence
Lawrence County Career And Technical Center,New Castle,Lawrence
Lebanon County Career And Technical Center,Lebanon,Lebanon
Lebanon School District,Lebanon,Lebanon
Leechburg Area School District,Leechburg,Armstrong
Lehigh Career & Technical Institute School District,Schnecksville,Lehigh
Lehigh Valley Academy Regional Cs,Bethlehem,Northampton
Lehigh Valley Charter High School For The Arts,Bethlehem,Northampton
Lehigh Valley Dual Language Charter School,Bethlehem,Northampton
Lehighton Area School District,Lehighton,Carbon
Lenape Technical,Ford City,Armstrong
Lewisburg Area School District,Lewisburg,Union
Ligonier Valley School District,Ligonier,Westmoreland
Lincoln Cs,York,York
Lincoln Leadership Academy Charter School,Allentown,Lehigh
Lincoln Park Performing Arts Cs,Midland,Beaver
Line Mountain School District,Herndon,Northumberland
Littlestown Area School District,Littlestown,Adams
Lower Dauphin School District,Hummelstown,Dauphin
Lower Merion School District,Ardmore,Montgomery
Lower Moreland Township School District,Huntingdon Valley,Montgomery
Loyalsock Township School District,Montoursville,Lycoming
Lycoming Career And Technical Center,Hughesville,Lycoming
Mahanoy Area School District,Mahanoy City,Schuylkill
Manchester Academic Cs,Pittsburgh,Allegheny
Manheim Central School District,Manheim,Lancaster
Manheim Township School District,Lancaster,Lancaster
Mariana Bracetti Academy Cs,Philadelphia,Philadelphia
Marion Center Area School District,Marion Center,Indiana
Maritime Academy Charter School,Philadelphia,Philadelphia
Marple Newtown School District,Newtown Square,Delaware
Mars Area School District,Mars,Butler
Mast Community Charter School,Philadelphia,Philadelphia
Mastery Charter High School,Philadelphia,Philadelphia
Mastery Cs - Cleveland Elementary,Philadelphia,Philadelphia
Mastery Cs - Francis D. Pastorius Elementary,Philadelphia,Philadelphia
